Employee_Number,First_Name,Last_Name,Address,City,Work_Department,Phone_Number,HireDate,Job_Desc_,Education_Level,Gender,Salary,Birthdate,Bonus,Commission,Pay_Per_Period
000030,ARSYAD,JAGAD,298 MAIN STREET,SEMARANG,C01,4738,3/6/2014,MANAGER,20,M,38250000,4/11/1980,800000,3060000,3187500
000190,JORGE,ROSALES,HIPOLITO YRIGOYEN 1134,SEMARANG,D11,2986,6/26/2013,DESIGNER,16,M,20450000,5/27/1991,400000,1636000,1704170
000020,KENZI ,KURNIAWAN,HITDORFER STRASSE 12,SEMARANG,B01,3476,9/10/2012,CEO,18,M,41250000,1/3/1987,800000,3300000,3637500
000060,SAVI,MADAN,GROUND FLOOR,SEMARANG,D11,6423,8/15/2012,MANAGER,16,M,32250000,6/7/1984,600000,2580000,2687500
000180,RONALD,ADAMS,1327 VICTORIA AVENUE,SEMARANG,D11,1682,6/7/2012,DESIGNER,17,F,21340000,1/23/1988,500000,1707000,1778330
000300,AFTAB,HUSSAIN,PO BOX 241,SEMARANG,E11,2095,5/21/2011,OPERATOR,14,M,17750000,9/28/1975,400000,1420000,1479170
200120,JORGE ALBERTO,GARCIA,FRAGA 1243,SEMARANG,A00,2167,4/6/2011,CLERK,14,M,29250000,9/18/1981,600000,2340000,2437500
000150,JAY,MEDNIKOW,19 HIGHLAND AVENUE,SEMARANG,D11,4510,1/13/2011,DESIGNER,16,M,25280000,4/17/1986,500000,2022000,2106670
000130,LUKASZ,MATOGA,UL.TOWAROWA 37 A,SEMARANG,C01,4578,6/28/2010,ANALYST,16,F,23800000,8/16/1964,500000,1904000,1983330
000090,MUJI,MUJEE,"11, VIA CORTE D'APPELLO",SEMARANG,E11,5498,7/16/2009,MANAGER,16,F,29750000,4/15/1980,600000,2380000,2479170
000250,DAN,TIBBETTS,3432 NORTH RUTHERFORD AVENUE,SEMARANG,D21,961,9/30/2008,CLERK,15,M,19180000,10/13/1978,400000,1534000,1598330
000220,ROGER,WOLFSOHN,107 MAINE AVENUE,SEMARANG,D11,672,7/31/2007,DESIGNER,18,F,29840000,2/18/1987,600000,2387000,2486670
200220,CHARLES,HARMAN,93A GREY STREET,SEMARANG,D11,672,7/31/2007,DESIGNER,18,F,29840000,2/18/1987,600000,2387000,2486670
000280,EMMA CLARE,PICKFORD,PO BOX 293,SEMARANG,E11,8997,2/22/2006,OPERATOR,17,F,26250000,2/27/1975,500000,2100000,2187500
200280,WILLIAM,WILSON,88 EAST BROAD STREET,SEMARANG,E11,8997,2/22/2006,OPERATOR,17,F,26250000,2/27/1975,500000,2100000,2187500
000230,ANDREE,MEYER,BAHNHOTSTRASSE 47,SEMARANG,D21,2094,10/22/2005,CLERK,14,M,22180000,4/30/1974,400000,1774000,1848330
000200,MELANIE,JACOBSON,KNIGHT BUILDING,SEMARANG,D11,4501,2/1/2005,DESIGNER,16,M,27740000,4/29/1980,600000,2217000,2311670
000320,OSCAR,BJERS,REGERINGSGATAN 92,SEMARANG,E21,9990,6/7/2004,FIELDREP,16,M,19950000,7/13/1971,400000,1596000,1662500
000010,CARMEN,BACARDI BOLIVAR,"AV. CENTRAL, CALLES 5 Y 6",SEMARANG,A00,3978,12/3/2003,PRES,18,F,52750000,7/15/1972,1000000,4220000,4395830
200010,RICK,BOWEN,33 WALLACE BOULEVARD,SEMARANG,A00,3978,12/3/2003,SALESREP,18,F,46500000,7/15/1972,1000000,4220000,3875000
000310,LUIGI,GIRELLI,VIA TRIESTE 31/A,SEMARANG,E11,3332,8/14/2003,OPERATOR,12,F,15900000,3/22/1970,300000,1272000,1325000
200310,JULIAN,ASTOLFONI,DR. JORGE SIMINI 197,SEMARANG,E11,3332,8/14/2003,OPERATOR,12,F,15900000,3/22/1970,300000,1272000,1325000
000120,PAUL,KENWARD,41 ESSEX STREET,SEMARANG,A00,2167,11/5/2002,CLERK,14,M,29250000,9/18/1981,600000,2340000,2494350
000110,JOHN,MULLEN,22 CLARENCE STREET,SEMARANG,A00,3490,4/16/1997,SALESREP,19,M,46500000,10/6/1968,900000,3720000,3875000
000050,MUSTAFA,RASDHAN,AACHENER STRASSE 1053-1055,SEMARANG,E01,6789,6/17/1990,MANAGER,16,M,40175000,8/16/1964,800000,3214000,3347920
000340,JORGE,MARIN,AUDA. LARRAZURE 317,SEMARANG,E21,5698,3/4/1988,FIELDREP,16,M,23840000,4/17/1965,500000,1907000,1986670
200340,ALEJANDRO,SEPTIEN,PISO 10-B,SEMARANG,E21,5698,3/4/1988,FIELDREP,16,M,23840000,4/17/1965,500000,1907000,1986670
